# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.052 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.050 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.052 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.050 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.055 us    |                _cond_resched();
 0)   0.060 us    |                mem_cgroup_uncharge_end();
 0) ! 402.408 us  |              }
 0)               |              unmap_single_vma() {
 0)   0.065 us    |                uprobe_munmap();
 0)   0.053 us    |                mem_cgroup_uncharge_start();
 0)   0.052 us    |                _raw_spin_lock();
 0)   0.054 us    |                _cond_resched();
 0)   0.172 us    |                _raw_spin_lock();
 0)   0.052 us    |                _cond_resched();
 0)   0.052 us    |                mem_cgroup_uncharge_end();
 0)   3.551 us    |              }
 0)               |              unmap_single_vma() {
 0)   0.052 us    |                uprobe_munmap();
 0)   0.052 us    |                mem_cgroup_uncharge_start();
 0)   0.050 us    |                _raw_spin_lock();
 0)   0.051 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.064 us    |                    __mem_cgroup_uncharge_common();
 0)   0.361 us    |                  }
 0)   0.068 us    |                  __mod_zone_page_state();
 0)   1.309 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.171 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.052 us    |                    __mem_cgroup_uncharge_common();
 0)   0.357 us    |                  }
 0)   0.051 us    |                  __mod_zone_page_state();
 0)   1.358 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.054 us    |                    __mem_cgroup_uncharge_common();
 0)   0.334 us    |                  }
 0)   0.051 us    |                  __mod_zone_page_state();
 0)   1.219 us    |                }
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.135 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.053 us    |                    __mem_cgroup_uncharge_common();
 0)   0.334 us    |                  }
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   1.542 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.049 us    |                _cond_resched();
 0)   0.052 us    |                mem_cgroup_uncharge_end();
 0) + 18.895 us   |              }
 0)               |              unmap_single_vma() {
 0)   0.051 us    |                uprobe_munmap();
 0)   0.050 us    |                mem_cgroup_uncharge_start();
 0)   0.051 us    |                _raw_spin_lock();
 0)   0.054 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.055 us    |                    __mem_cgroup_uncharge_common();
 0)   0.357 us    |                  }
 0)   0.051 us    |                  __mod_zone_page_state();
 0)   1.240 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.050 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.051 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.051 us    |                    __mem_cgroup_uncharge_common();
 0)   0.331 us    |                  }
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   1.210 us    |                }
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.051 us    |                _cond_resched();
 0)   0.052 us    |                mem_cgroup_uncharge_end();
 0)   6.325 us    |              }
 0)               |              unmap_single_vma() {
 0)   0.052 us    |                mem_cgroup_uncharge_start();
 0)   0.049 us    |                _raw_spin_lock();
 0)   0.053 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.052 us    |                    __mem_cgroup_uncharge_common();
 0)   0.332 us    |                  }
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   1.220 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.052 us    |                    __mem_cgroup_uncharge_common();
 0)   0.333 us    |                  }
 0)   0.052 us    |                  __mod_zone_page_state();
 0)   1.211 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.053 us    |                _cond_resched();
 0)   0.051 us    |                mem_cgroup_uncharge_end();
 0)   5.658 us    |              }
 0)               |              unmap_single_vma() {
 0)   0.053 us    |                uprobe_munmap();
 0)   0.050 us    |                mem_cgroup_uncharge_start();
 0)   0.054 us    |                _raw_spin_lock();
 0)   0.055 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.067 us    |                    __dec_zone_state();
 0)   0.371 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.068 us    |                    lookup_page_cgroup();
 0)   0.367 us    |                  }
 0)   1.598 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.051 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.336 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.052 us    |                    lookup_page_cgroup();
 0)   0.345 us    |                  }
 0)   1.661 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.054 us    |                    __dec_zone_state();
 0)   0.359 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.340 us    |                  }
 0)   1.532 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.051 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.363 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.053 us    |                    lookup_page_cgroup();
 0)   0.340 us    |                  }
 0)   1.534 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.334 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.055 us    |                    lookup_page_cgroup();
 0)   0.344 us    |                  }
 0)   1.509 us    |                }
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.054 us    |                    __dec_zone_state();
 0)   0.826 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.053 us    |                    lookup_page_cgroup();
 0)   0.341 us    |                  }
 0)   1.994 us    |                }
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.347 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.341 us    |                  }
 0)   1.520 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.357 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.055 us    |                    lookup_page_cgroup();
 0)   0.343 us    |                  }
 0)   1.532 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.068 us    |                    __dec_zone_state();
 0)   0.354 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.051 us    |                    lookup_page_cgroup();
 0)   0.340 us    |                  }
 0)   1.525 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.055 us    |                    __dec_zone_state();
 0)   0.335 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.051 us    |                    lookup_page_cgroup();
 0)   0.342 us    |                  }
 0)   1.509 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.055 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.333 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.055 us    |                    lookup_page_cgroup();
 0)   0.343 us    |                  }
 0)   1.510 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.054 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.357 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.051 us    |                    lookup_page_cgroup();
 0)   0.338 us    |                  }
 0)   1.531 us    |                }
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.052 us    |                    __dec_zone_state();
 0)   0.335 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.055 us    |                    lookup_page_cgroup();
 0)   0.342 us    |                  }
 0)   1.507 us    |                }
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.049 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.051 us    |                    __dec_zone_state();
 0)   0.383 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.052 us    |                    lookup_page_cgroup();
 0)   0.340 us    |                  }
 0)   1.550 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.335 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.053 us    |                    lookup_page_cgroup();
 0)   0.340 us    |                  }
 0)   1.504 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.359 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.341 us    |                  }
 0)   1.530 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.333 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.342 us    |                  }
 0)   1.748 us    |                }
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.053 us    |                    __dec_zone_state();
 0)   0.361 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.342 us    |                  }
 0)   1.532 us    |                }
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.054 us    |                    __dec_zone_state();
 0)   0.340 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.053 us    |                    lookup_page_cgroup();
 0)   0.341 us    |                  }
 0)   1.514 us    |                }
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.051 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.052 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.054 us    |                    __dec_zone_state();
 0)   0.360 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.054 us    |                    lookup_page_cgroup();
 0)   0.342 us    |                  }
 0)   1.536 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  __dec_zone_page_state() {
 0)   0.055 us    |                    __dec_zone_state();
 0)   0.334 us    |                  }
 0)               |                  mem_cgroup_update_page_stat() {
 0)   0.051 us    |                    lookup_page_cgroup();
 0)   0.343 us    |                  }
 0)   1.511 us    |                }
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.052 us    |                _cond_resched();
 0)   0.052 us    |                mem_cgroup_uncharge_end();
 0) + 62.321 us   |              }
 0)               |              unmap_single_vma() {
 0)   0.052 us    |                uprobe_munmap();
 0)   0.049 us    |                mem_cgroup_uncharge_start();
 0)   0.054 us    |                _raw_spin_lock();
 0)   0.052 us    |                _cond_resched();
 0)   0.190 us    |                _raw_spin_lock();
 0)   0.052 us    |                _cond_resched();
 0)   0.051 us    |                mem_cgroup_uncharge_end();
 0)   3.275 us    |              }
 0)               |              unmap_single_vma() {
 0)   0.053 us    |                uprobe_munmap();
 0)   0.049 us    |                mem_cgroup_uncharge_start();
 0)   0.053 us    |                _raw_spin_lock();
 0)   0.053 us    |                vm_normal_page();
 0)               |                page_remove_rmap() {
 0)   0.053 us    |                  PageHuge();
 0)               |                  mem_cgroup_uncharge_page() {
 0)   0.052 us    |                    __mem_cgroup_uncharge_common();
 0)   0.357 us    |                  }
 0)   0.049 us    |                  __mod_zone_page_state();
 0)   1.248 us    |                }
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                _cond_resched();
 0)   0.053 us    |                mem_cgroup_uncharge_end();
 0)   4.141 us    |              }
 0)               |              unmap_single_vma() {
 0)   0.052 us    |                uprobe_munmap();
 0)   0.052 us    |                mem_cgroup_uncharge_start();
 0)   0.054 us    |                _raw_spin_lock();
 0)   0.055 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.066 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.066 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.061 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.052 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.180 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.049 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.057 us    |                page_remove_rmap();
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   2.703 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.051 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.049 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.049 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.166 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.066 us    |                page_remove_rmap();
 0)   0.067 us    |                __tlb_remove_page();
 0)   0.051 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.050 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.050 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.051 us    |                _cond_resched();
 0)   0.066 us    |                _raw_spin_lock();
 0)   0.049 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.049 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.055 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.053 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.052 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.056 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
 0)   0.054 us    |                vm_normal_page();
 0)   0.053 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.051 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.055 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.055 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.169 us    |                page_remove_rmap();
 0)   0.053 us    |                __tlb_remove_page();
 0)   0.051 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.054 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.054 us    |                mark_page_accessed();
 0)   0.053 us    |                page_remove_rmap();
 0)   0.055 us    |                __tlb_remove_page();
 0)   0.052 us    |                vm_normal_page();
 0)   0.051 us    |                mark_page_accessed();
 0)   0.054 us    |                page_remove_rmap();
 0)   0.052 us    |                __tlb_remove_page();
