# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.059 us    |                      cap_inode_permission();
  0)   0.374 us    |                    }
  0)   1.044 us    |                  }
  0)   1.360 us    |                }
  0)   4.475 us    |              }
  0)   4.851 us    |            }
  0)               |            lookup_fast() {
  0)   0.412 us    |              __d_lookup_rcu();
  0)   0.728 us    |            }
  0)   0.078 us    |            terminate_walk();
  0)   0.060 us    |            path_cleanup();
  0)   7.492 us    |          }
  0)   7.892 us    |        }
  0)               |        putname() {
  0)   0.060 us    |          kmem_cache_free();
  0)   0.370 us    |        }
  0)   9.798 us    |      }
  0) + 10.325 us   |    }
  0)   0.062 us    |    revert_creds();
  0)               |    __put_cred() {
  0)               |      call_rcu_sched() {
  0)   0.111 us    |        __call_rcu.constprop.62();
  0)   0.415 us    |      }
  0)   0.747 us    |    }
  0) + 14.874 us   |  }
  0)               |  SyS_open() {
  0)               |    do_sys_open() {
  0)               |      getname() {
  0)               |        getname_flags() {
  0)   0.063 us    |          kmem_cache_alloc();
  0)   0.467 us    |        }
  0)   0.769 us    |      }
  0)               |      get_unused_fd_flags() {
  0)               |        __alloc_fd() {
  0)   0.062 us    |          _raw_spin_lock();
  0)   0.056 us    |          _raw_spin_unlock();
  0)   0.748 us    |        }
  0)   1.086 us    |      }
  0)               |      do_filp_open() {
  0)               |        path_openat() {
  0)               |          get_empty_filp() {
  0)   0.093 us    |            kmem_cache_alloc();
  0)               |            security_file_alloc() {
  0)   0.052 us    |              cap_file_alloc_security();
  0)   0.400 us    |            }
  0)   0.052 us    |            __mutex_init();
  0)   1.402 us    |          }
  0)               |          path_init() {
  0)               |            link_path_walk() {
  0)               |              inode_permission() {
  0)               |                __inode_permission() {
  0)   0.058 us    |                  generic_permission();
  0)               |                  security_inode_permission() {
  0)   0.053 us    |                    cap_inode_permission();
  0)   0.360 us    |                  }
  0)   0.987 us    |                }
  0)   1.473 us    |              }
  0)               |              lookup_fast() {
  0)   0.058 us    |                __d_lookup_rcu();
  0)   0.376 us    |              }
  0)               |              inode_permission() {
  0)               |                __inode_permission() {
  0)   0.058 us    |                  generic_permission();
  0)               |                  security_inode_permission() {
  0)   0.103 us    |                    cap_inode_permission();
  0)   0.406 us    |                  }
  0)   1.091 us    |                }
  0)   1.484 us    |              }
  0)   4.379 us    |            }
  0)   4.729 us    |          }
  0)               |          do_last() {
  0)               |            lookup_fast() {
  0)   0.400 us    |              __d_lookup_rcu();
  0)   0.714 us    |            }
  0)               |            complete_walk() {
  0)   0.078 us    |              legitimize_mnt();
  0)   0.425 us    |            }
  0)               |            may_open() {
  0)               |              inode_permission() {
  0)               |                __inode_permission() {
  0)   0.056 us    |                  generic_permission();
  0)               |                  security_inode_permission() {
  0)   0.055 us    |                    cap_inode_permission();
  0)   0.365 us    |                  }
  0)   1.055 us    |                }
  0)   1.363 us    |              }
  0)   1.759 us    |            }
  0)               |            vfs_open() {
  0)               |              do_dentry_open() {
  0)               |                path_get() {
  0)   0.053 us    |                  mntget();
  0)   0.394 us    |                }
  0)   0.056 us    |                try_module_get();
  0)               |                security_file_open() {
