# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |          unlock_page() {
 0)   0.074 us    |            page_waitqueue();
 0)   0.070 us    |            __wake_up_bit();
 0)   1.185 us    |          }
 0)               |          do_set_pte() {
 0)   0.074 us    |            add_mm_counter_fast();
 0)   0.070 us    |            page_add_file_rmap();
 0)   1.073 us    |          }
 0)               |          unlock_page() {
 0)   0.071 us    |            page_waitqueue();
 0)   0.072 us    |            __wake_up_bit();
 0)   0.983 us    |          }
 0)               |          do_set_pte() {
 0)   0.058 us    |            add_mm_counter_fast();
 0)   0.215 us    |            page_add_file_rmap();
 0)   1.268 us    |          }
 0)               |          unlock_page() {
 0)   0.052 us    |            page_waitqueue();
 0)   0.049 us    |            __wake_up_bit();
 0)   0.754 us    |          }
 0)               |          do_set_pte() {
 0)   0.051 us    |            add_mm_counter_fast();
 0)   0.053 us    |            page_add_file_rmap();
 0)   0.758 us    |          }
 0)               |          unlock_page() {
 0)   0.094 us    |            page_waitqueue();
 0)   0.050 us    |            __wake_up_bit();
 0)   0.730 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.051 us    |            page_add_file_rmap();
 0)   0.640 us    |          }
 0)               |          unlock_page() {
 0)   0.053 us    |            page_waitqueue();
 0)   0.053 us    |            __wake_up_bit();
 0)   0.631 us    |          }
 0)               |          do_set_pte() {
 0)   0.049 us    |            add_mm_counter_fast();
 0)   0.125 us    |            page_add_file_rmap();
 0)   0.728 us    |          }
 0)               |          unlock_page() {
 0)   0.070 us    |            page_waitqueue();
 0)   0.118 us    |            __wake_up_bit();
 0)   0.924 us    |          }
 0)               |          do_set_pte() {
 0)   0.071 us    |            add_mm_counter_fast();
 0)   0.073 us    |            page_add_file_rmap();
 0)   0.917 us    |          }
 0)               |          unlock_page() {
 0)   0.071 us    |            page_waitqueue();
 0)   0.150 us    |            __wake_up_bit();
 0)   0.992 us    |          }
 0)               |          do_set_pte() {
 0)   0.060 us    |            add_mm_counter_fast();
 0)   0.066 us    |            page_add_file_rmap();
 0)   0.889 us    |          }
 0)               |          unlock_page() {
 0)   0.063 us    |            page_waitqueue();
 0)   0.127 us    |            __wake_up_bit();
 0)   0.928 us    |          }
 0)               |          do_set_pte() {
 0)   0.069 us    |            add_mm_counter_fast();
 0)   0.068 us    |            page_add_file_rmap();
 0)   0.905 us    |          }
 0)               |          unlock_page() {
 0)   0.061 us    |            page_waitqueue();
 0)   0.133 us    |            __wake_up_bit();
 0)   8.183 us    |          }
 0)               |          do_set_pte() {
 0)   0.071 us    |            add_mm_counter_fast();
 0)   0.067 us    |            page_add_file_rmap();
 0)   1.011 us    |          }
 0)               |          unlock_page() {
 0)   0.071 us    |            page_waitqueue();
 0)   0.137 us    |            __wake_up_bit();
 0)   1.246 us    |          }
 0)               |          do_set_pte() {
 0)   0.066 us    |            add_mm_counter_fast();
 0)   0.098 us    |            page_add_file_rmap();
 0)   1.118 us    |          }
 0)               |          unlock_page() {
 0)   0.083 us    |            page_waitqueue();
 0)   0.151 us    |            __wake_up_bit();
 0)   1.850 us    |          }
 0)               |          do_set_pte() {
 0)   0.075 us    |            add_mm_counter_fast();
 0)   0.075 us    |            page_add_file_rmap();
 0)   1.142 us    |          }
 0)               |          unlock_page() {
 0)   0.095 us    |            page_waitqueue();
 0)   0.145 us    |            __wake_up_bit();
 0)   1.197 us    |          }
 0)               |          do_set_pte() {
 0)   0.057 us    |            add_mm_counter_fast();
 0)   0.072 us    |            page_add_file_rmap();
 0)   1.085 us    |          }
 0)               |          unlock_page() {
 0)   0.081 us    |            page_waitqueue();
 0)   0.140 us    |            __wake_up_bit();
 0)   1.202 us    |          }
 0)               |          do_set_pte() {
 0)   0.077 us    |            add_mm_counter_fast();
 0)   0.071 us    |            page_add_file_rmap();
 0)   1.132 us    |          }
 0)               |          unlock_page() {
 0)   0.083 us    |            page_waitqueue();
 0)   0.136 us    |            __wake_up_bit();
 0)   1.094 us    |          }
 0) + 53.565 us   |        }
 0) + 54.758 us   |      }
 0) + 55.266 us   |    }
 0)   0.071 us    |    up_read();
 0) + 58.417 us   |  }
 0)               |  __do_page_fault() {
 0)   0.052 us    |    down_read_trylock();
 0)   0.050 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.071 us    |      vmacache_find();
 0)   0.423 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_read_fault.isra.54() {
 0)   0.052 us    |        _raw_spin_lock();
 0)               |        filemap_map_pages() {
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
 0)   0.052 us    |            page_add_file_rmap();
 0)   0.642 us    |          }
 0)               |          unlock_page() {
 0)   0.055 us    |            page_waitqueue();
 0)   0.120 us    |            __wake_up_bit();
 0)   0.735 us    |          }
 0)               |          do_set_pte() {
 0)   0.053 us    |            add_mm_counter_fast();
